id,month,region_type,region_name,country,source,ns,s,dn_ds
1766,2020-01-01,GENE,S,Poland,ENA,5,1,1.4186046511627899
1767,2020-01-01,GENE,S,Spain,ENA,26,1,7.3767441860465075
1768,2020-01-01,GENE,S,United Kingdom,ENA,511,43,3.3716603569497012
1769,2020-01-01,GENE,S,United States,ENA,48,14,0.972757475083056
1770,2020-02-01,GENE,M,China,ENA,0,1,
1771,2020-02-01,GENE,M,Spain,ENA,0,1,
1772,2020-02-01,GENE,N,Australia,ENA,0,36,
1773,2020-02-01,GENE,N,Canada,ENA,0,4,
1774,2020-02-01,GENE,N,China,ENA,0,2,
1775,2020-02-01,GENE,N,Spain,ENA,14,11,0.3792967409948538
1776,2020-02-01,GENE,N,United Kingdom,ENA,2,1,0.596037735849056
1777,2020-02-01,GENE,N,United States,ENA,1,1,0.298018867924528
1778,2020-02-01,GENE,ORF10,Japan,ENA,0,2,
1779,2020-02-01,GENE,ORF1ab,Australia,ENA,49,51,0.26516888039215686
1780,2020-02-01,GENE,ORF1ab,Canada,ENA,13,3,1.1959657666666668
1781,2020-02-01,GENE,ORF1ab,China,ENA,11,16,0.18974456875
1782,2020-02-01,GENE,ORF1ab,Japan,ENA,11,2,1.51795655
1783,2020-02-01,GENE,ORF1ab,Spain,ENA,29,21,0.3811319476190476
1784,2020-02-01,GENE,ORF1ab,United Kingdom,ENA,0,2,
1785,2020-02-01,GENE,ORF1ab,United States,ENA,18,14,0.35484698571428575
1786,2020-02-01,GENE,ORF3a,China,ENA,0,1,
1787,2020-02-01,GENE,ORF3a,Japan,ENA,0,1,
1788,2020-02-01,GENE,ORF3a,United Kingdom,ENA,0,1,
1789,2020-02-01,GENE,ORF7a,China,ENA,0,1,
1790,2020-02-01,GENE,ORF7a,United States,ENA,0,1,
1791,2020-02-01,GENE,S,China,ENA,3,3,0.283720930232558
1792,2020-02-01,GENE,S,United States,ENA,0,1,
1793,2020-03-01,GENE,E,Spain,ENA,24,21,0.38571428571428573
1794,2020-03-01,GENE,E,United Kingdom,ENA,9,2,1.5187500000000003
1795,2020-03-01,GENE,E,United States,ENA,9,16,0.18984375000000003
1796,2020-03-01,GENE,M,Spain,ENA,74,70,0.32348571428571427
1797,2020-03-01,GENE,M,Tunisia,ENA,0,2,
1798,2020-03-01,GENE,M,United Kingdom,ENA,6,12,0.153
1799,2020-03-01,GENE,M,United States,ENA,30,216,0.042499999999999996
1800,2020-03-01,GENE,N,Australia,ENA,37,48,0.2297228773584903
1801,2020-03-01,GENE,N,Brazil,ENA,17,5,1.013264150943395
1802,2020-03-01,GENE,N,Chile,ENA,1,1,0.298018867924528
1803,2020-03-01,GENE,N,France,ENA,4,3,0.3973584905660373
1804,2020-03-01,GENE,N,Germany,ENA,4,2,0.596037735849056
1805,2020-03-01,GENE,N,Greece,ENA,12,9,0.3973584905660373
1806,2020-03-01,GENE,N,Israel,ENA,2,1,0.596037735849056
1807,2020-03-01,GENE,N,Jordan,ENA,27,10,0.8046509433962256
1808,2020-03-01,GENE,N,Latvia,ENA,9,5,0.5364339622641503
1809,2020-03-01,GENE,N,Malaysia,ENA,9,1,2.682169811320752
1810,2020-03-01,GENE,N,Peru,ENA,8,4,0.596037735849056
1811,2020-03-01,GENE,N,Qatar,ENA,10,5,0.596037735849056
1812,2020-03-01,GENE,N,Romania,ENA,4,2,0.596037735849056
1813,2020-03-01,GENE,N,Spain,ENA,1716,1305,0.3918776837996092
1814,2020-03-01,GENE,N,Tunisia,ENA,3,1,0.894056603773584
1815,2020-03-01,GENE,N,Turkey,ENA,0,1,
1816,2020-03-01,GENE,N,United Kingdom,ENA,337,158,0.6356478385478856
1817,2020-03-01,GENE,N,United States,ENA,673,254,0.7896326697370367
1818,2020-03-01,GENE,ORF10,Spain,ENA,92,7,3.5047619047619087
1819,2020-03-01,GENE,ORF10,Turkey,ENA,0,1,
1820,2020-03-01,GENE,ORF10,United States,ENA,34,2,4.533333333333339
1821,2020-03-01,GENE,ORF1ab,Australia,ENA,78,84,0.2562783785714286
1822,2020-03-01,GENE,ORF1ab,Brazil,ENA,7,15,0.12879631333333336
1823,2020-03-01,GENE,ORF1ab,Chile,ENA,2,2,0.2759921
1824,2020-03-01,GENE,ORF1ab,Ecuador,ENA,0,1,
1825,2020-03-01,GENE,ORF1ab,France,ENA,49,82,0.16492210853658537
1826,2020-03-01,GENE,ORF1ab,Germany,ENA,0,4,
1827,2020-03-01,GENE,ORF1ab,Greece,ENA,18,85,0.05844538588235294
1828,2020-03-01,GENE,ORF1ab,Israel,ENA,0,3,
1829,2020-03-01,GENE,ORF1ab,Italy,ENA,0,4,
1830,2020-03-01,GENE,ORF1ab,Japan,ENA,1,2,0.13799605
1831,2020-03-01,GENE,ORF1ab,Jordan,ENA,31,33,0.2592653060606061
1832,2020-03-01,GENE,ORF1ab,Latvia,ENA,9,20,0.124196445
1833,2020-03-01,GENE,ORF1ab,Malaysia,ENA,25,13,0.5307540384615385
1834,2020-03-01,GENE,ORF1ab,Not available,ENA,2,2,0.2759921
1835,2020-03-01,GENE,ORF1ab,"Palestine, State of",ENA,7,17,0.11364380588235296
1836,2020-03-01,GENE,ORF1ab,Peru,ENA,15,21,0.19713721428571432
1837,2020-03-01,GENE,ORF1ab,Qatar,ENA,5,5,0.2759921
1838,2020-03-01,GENE,ORF1ab,Romania,ENA,4,29,0.038067875862068966
1839,2020-03-01,GENE,ORF1ab,Spain,ENA,3546,5578,0.1754514138759412
1840,2020-03-01,GENE,ORF1ab,Switzerland,ENA,11,82,0.03702333048780488
1841,2020-03-01,GENE,ORF1ab,Tunisia,ENA,7,16,0.12074654375000002
1842,2020-03-01,GENE,ORF1ab,United Kingdom,ENA,413,510,0.2234994849019608
1843,2020-03-01,GENE,ORF1ab,United States,ENA,5020,7787,0.17792222190830875
1844,2020-03-01,GENE,ORF1ab,Uruguay,ENA,0,4,
1845,2020-03-01,GENE,ORF3a,Greece,ENA,4,1,1.145
1846,2020-03-01,GENE,ORF3a,Jordan,ENA,12,4,0.85875
1847,2020-03-01,GENE,ORF3a,Peru,ENA,2,1,0.5725
1848,2020-03-01,GENE,ORF3a,Romania,ENA,0,1,
1849,2020-03-01,GENE,ORF3a,Spain,ENA,1210,268,1.2923973880597015
1850,2020-03-01,GENE,ORF3a,United Kingdom,ENA,113,6,5.391041666666667
1851,2020-03-01,GENE,ORF3a,United States,ENA,2618,90,8.326694444444446
1852,2020-03-01,GENE,ORF3a,Uruguay,ENA,0,2,
1853,2020-03-01,GENE,ORF6,Spain,ENA,9,9,0.2425
1854,2020-03-01,GENE,ORF6,United Kingdom,ENA,3,1,0.7275
1855,2020-03-01,GENE,ORF6,United States,ENA,22,25,0.21339999999999998
1856,2020-03-01,GENE,ORF7a,Spain,ENA,22,9,0.7196732026143782
1857,2020-03-01,GENE,ORF7a,United Kingdom,ENA,4,4,0.294411764705882
1858,2020-03-01,GENE,ORF7a,United States,ENA,96,17,1.6625605536332158
1859,2020-03-01,GENE,ORF7b,Australia,ENA,0,1,
1860,2020-03-01,GENE,ORF7b,Greece,ENA,0,1,
1861,2020-03-01,GENE,ORF7b,Spain,ENA,6,10,
1862,2020-03-01,GENE,ORF7b,United Kingdom,ENA,1,1,
1863,2020-03-01,GENE,ORF7b,United States,ENA,5,2,
1864,2020-03-01,GENE,ORF8,Spain,ENA,1215,17,19.184210526315795
1865,2020-03-01,GENE,ORF8,United Kingdom,ENA,6,1,1.610526315789474
1866,2020-03-01,GENE,ORF8,United States,ENA,1073,13,22.155060728744942
1867,2020-03-01,GENE,S,Australia,ENA,25,11,0.6448202959830864
1868,2020-03-01,GENE,S,France,ENA,41,2,5.816279069767439
1869,2020-03-01,GENE,S,Greece,ENA,28,1,7.944186046511625
1870,2020-03-01,GENE,S,India,ENA,0,1,
1871,2020-03-01,GENE,S,Latvia,ENA,10,1,2.8372093023255798
1872,2020-03-01,GENE,S,Malaysia,ENA,1,10,0.0283720930232558
1873,2020-03-01,GENE,S,Peru,ENA,11,5,0.6241860465116277
1874,2020-03-01,GENE,S,Romania,ENA,14,1,3.9720930232558125
1875,2020-03-01,GENE,S,Spain,ENA,1977,137,4.094279409268374
1876,2020-03-01,GENE,S,Switzerland,ENA,0,9,
1877,2020-03-01,GENE,S,Tunisia,ENA,4,2,0.567441860465116
1878,2020-03-01,GENE,S,United Kingdom,ENA,264,31,2.416204051012752
1879,2020-03-01,GENE,S,United States,ENA,2941,370,2.25519798868636
1880,2020-04-01,GENE,E,Brazil,ENA,0,1,
1881,2020-04-01,GENE,E,Qatar,ENA,0,1,
1882,2020-04-01,GENE,E,Spain,ENA,19,26,0.2466346153846154
2094,2020-06-01,GENE,S,Peru,ENA,116,65,0.5063327370304113
1883,2020-04-01,GENE,E,United Kingdom,ENA,10,3,1.1250000000000002
1884,2020-04-01,GENE,E,United States,ENA,12,8,0.5062500000000001
1885,2020-04-01,GENE,M,Brazil,ENA,0,1,
1886,2020-04-01,GENE,M,Mexico,ENA,0,1,
1887,2020-04-01,GENE,M,Spain,ENA,28,40,0.2142
1888,2020-04-01,GENE,M,United Kingdom,ENA,49,45,0.3332
1889,2020-04-01,GENE,M,United States,ENA,22,36,0.18699999999999997
1890,2020-04-01,GENE,N,Brazil,ENA,170,59,0.8586984330028773
1891,2020-04-01,GENE,N,Croatia,ENA,2,1,0.596037735849056
1892,2020-04-01,GENE,N,Greece,ENA,3,4,0.223514150943396
1893,2020-04-01,GENE,N,India,ENA,11,2,1.639103773584904
1894,2020-04-01,GENE,N,"Iran, Islamic Republic of",ENA,1,1,0.298018867924528
1895,2020-04-01,GENE,N,Italy,ENA,2,1,0.596037735849056
1896,2020-04-01,GENE,N,Jordan,ENA,4,1,1.192075471698112
1897,2020-04-01,GENE,N,Malaysia,ENA,7,1,2.086132075471696
1898,2020-04-01,GENE,N,Mexico,ENA,12,2,1.788113207547168
1899,2020-04-01,GENE,N,Morocco,ENA,0,1,
1900,2020-04-01,GENE,N,Peru,ENA,10,10,0.298018867924528
1901,2020-04-01,GENE,N,Qatar,ENA,17,5,1.013264150943395
1902,2020-04-01,GENE,N,Romania,ENA,18,9,0.596037735849056
1903,2020-04-01,GENE,N,Spain,ENA,724,452,0.4773576557021201
1904,2020-04-01,GENE,N,Sweden,ENA,3,1,0.894056603773584
1905,2020-04-01,GENE,N,United Kingdom,ENA,1707,779,0.6530400610361609
1906,2020-04-01,GENE,N,United States,ENA,436,139,0.9347929957920447
1907,2020-04-01,GENE,ORF10,Spain,ENA,78,11,1.8909090909090933
1908,2020-04-01,GENE,ORF10,United Kingdom,ENA,3,1,0.800000000000001
1909,2020-04-01,GENE,ORF1ab,Brazil,ENA,36,150,0.066238104
1910,2020-04-01,GENE,ORF1ab,Croatia,ENA,3,2,0.41398815000000005
1911,2020-04-01,GENE,ORF1ab,France,ENA,0,12,
1912,2020-04-01,GENE,ORF1ab,Germany,ENA,0,2,
1913,2020-04-01,GENE,ORF1ab,Greece,ENA,4,8,0.13799605
1914,2020-04-01,GENE,ORF1ab,India,ENA,25,12,0.5749835416666668
1915,2020-04-01,GENE,ORF1ab,"Iran, Islamic Republic of",ENA,6,2,0.8279763000000001
1916,2020-04-01,GENE,ORF1ab,Italy,ENA,2,3,0.18399473333333335
1917,2020-04-01,GENE,ORF1ab,Jordan,ENA,3,5,0.16559526
1918,2020-04-01,GENE,ORF1ab,Malaysia,ENA,10,8,0.344990125
1919,2020-04-01,GENE,ORF1ab,Mexico,ENA,10,29,0.09516968965517242
1920,2020-04-01,GENE,ORF1ab,Morocco,ENA,1,3,0.09199736666666668
1921,2020-04-01,GENE,ORF1ab,Not available,ENA,5,2,0.68998025
1922,2020-04-01,GENE,ORF1ab,Peru,ENA,17,9,0.5213184111111111
1923,2020-04-01,GENE,ORF1ab,Philippines,ENA,2,1,0.5519842
1924,2020-04-01,GENE,ORF1ab,Qatar,ENA,52,76,0.18883670000000002
1925,2020-04-01,GENE,ORF1ab,Romania,ENA,5,27,0.05110964814814815
1926,2020-04-01,GENE,ORF1ab,Spain,ENA,1586,3263,0.1341475545816733
1927,2020-04-01,GENE,ORF1ab,Sweden,ENA,11,12,0.25299275833333335
1928,2020-04-01,GENE,ORF1ab,Switzerland,ENA,0,2,
1929,2020-04-01,GENE,ORF1ab,Tunisia,ENA,1,3,0.09199736666666668
1930,2020-04-01,GENE,ORF1ab,United Kingdom,ENA,1319,2100,0.17334932376190476
1931,2020-04-01,GENE,ORF1ab,United States,ENA,2377,4379,0.14981347835122175
1932,2020-04-01,GENE,ORF3a,Brazil,ENA,11,2,1.574375
1933,2020-04-01,GENE,ORF3a,Spain,ENA,281,111,0.7246509009009009
1934,2020-04-01,GENE,ORF3a,United Kingdom,ENA,226,28,2.310446428571429
1935,2020-04-01,GENE,ORF3a,United States,ENA,1331,71,5.366179577464789
1936,2020-04-01,GENE,ORF6,Qatar,ENA,0,1,
1937,2020-04-01,GENE,ORF6,Spain,ENA,11,6,0.44458333333333333
1938,2020-04-01,GENE,ORF6,United Kingdom,ENA,8,10,0.194
1939,2020-04-01,GENE,ORF6,United States,ENA,14,13,0.2611538461538461
1940,2020-04-01,GENE,ORF7a,Malaysia,ENA,0,2,
1941,2020-04-01,GENE,ORF7a,Qatar,ENA,0,1,
1942,2020-04-01,GENE,ORF7a,Spain,ENA,23,8,0.8464338235294108
1943,2020-04-01,GENE,ORF7a,Sweden,ENA,0,1,
1944,2020-04-01,GENE,ORF7a,United Kingdom,ENA,48,7,2.0188235294117622
1945,2020-04-01,GENE,ORF7a,United States,ENA,16,13,0.36235294117647016
1946,2020-04-01,GENE,ORF7b,United States,ENA,3,4,
1947,2020-04-01,GENE,ORF8,Brazil,ENA,0,2,
1948,2020-04-01,GENE,ORF8,Spain,ENA,253,10,6.791052631578949
1949,2020-04-01,GENE,ORF8,United Kingdom,ENA,33,8,1.1072368421052634
1950,2020-04-01,GENE,ORF8,United States,ENA,233,12,5.211842105263159
1951,2020-04-01,GENE,S,Brazil,ENA,62,5,3.518139534883719
1952,2020-04-01,GENE,S,Croatia,ENA,1,1,0.283720930232558
1953,2020-04-01,GENE,S,India,ENA,0,11,
1954,2020-04-01,GENE,S,"Iran, Islamic Republic of",ENA,1,1,0.283720930232558
1955,2020-04-01,GENE,S,Malaysia,ENA,4,4,0.283720930232558
1956,2020-04-01,GENE,S,Mexico,ENA,13,2,1.8441860465116269
1957,2020-04-01,GENE,S,Peru,ENA,4,5,0.2269767441860464
1958,2020-04-01,GENE,S,Philippines,ENA,0,1,
1959,2020-04-01,GENE,S,Qatar,ENA,22,3,2.080620155038759
1960,2020-04-01,GENE,S,Spain,ENA,1367,104,3.7292933810375652
1961,2020-04-01,GENE,S,United Kingdom,ENA,1182,124,2.704501125281319
1962,2020-04-01,GENE,S,United States,ENA,1881,183,2.9162790697674406
1963,2020-05-01,GENE,E,Spain,ENA,2,3,0.225
1964,2020-05-01,GENE,E,United States,ENA,4,2,0.675
1965,2020-05-01,GENE,M,Bangladesh,ENA,0,1,
1966,2020-05-01,GENE,M,India,ENA,8,49,0.04995918367346939
1967,2020-05-01,GENE,M,Qatar,ENA,0,1,
1968,2020-05-01,GENE,M,Spain,ENA,2,16,0.03825
1969,2020-05-01,GENE,M,United Kingdom,ENA,4,11,0.11127272727272727
1970,2020-05-01,GENE,M,United States,ENA,3,8,0.11475
1971,2020-05-01,GENE,N,Bangladesh,ENA,6,3,0.596037735849056
1972,2020-05-01,GENE,N,Brazil,ENA,66,21,0.9366307277628022
1973,2020-05-01,GENE,N,Croatia,ENA,2,1,0.596037735849056
1974,2020-05-01,GENE,N,India,ENA,203,70,0.8642547169811311
1975,2020-05-01,GENE,N,Italy,ENA,6,3,0.596037735849056
1976,2020-05-01,GENE,N,Latvia,ENA,4,2,0.596037735849056
1977,2020-05-01,GENE,N,Not available,ENA,2,1,0.596037735849056
1978,2020-05-01,GENE,N,Poland,ENA,308,135,0.679924528301886
1979,2020-05-01,GENE,N,Romania,ENA,2,1,0.596037735849056
1980,2020-05-01,GENE,N,Spain,ENA,111,59,0.5606795650783493
1981,2020-05-01,GENE,N,United Kingdom,ENA,158,73,0.6450271387955536
1982,2020-05-01,GENE,N,United States,ENA,197,49,1.1981574894108573
1983,2020-05-01,GENE,ORF10,Brazil,ENA,0,1,
1984,2020-05-01,GENE,ORF10,Qatar,ENA,0,1,
1985,2020-05-01,GENE,ORF10,Spain,ENA,3,3,0.266666666666667
1986,2020-05-01,GENE,ORF1ab,Bangladesh,ENA,9,7,0.35484698571428575
1987,2020-05-01,GENE,ORF1ab,Brazil,ENA,19,69,0.07599782463768116
1988,2020-05-01,GENE,ORF1ab,Croatia,ENA,3,2,0.41398815000000005
1989,2020-05-01,GENE,ORF1ab,Germany,ENA,8,12,0.18399473333333335
1990,2020-05-01,GENE,ORF1ab,India,ENA,215,396,0.14984419570707072
1991,2020-05-01,GENE,ORF1ab,Italy,ENA,14,16,0.24149308750000004
1992,2020-05-01,GENE,ORF1ab,Latvia,ENA,10,10,0.2759921
1993,2020-05-01,GENE,ORF1ab,Not available,ENA,1,2,0.13799605
1994,2020-05-01,GENE,ORF1ab,Poland,ENA,678,538,0.3478116055762082
1995,2020-05-01,GENE,ORF1ab,Qatar,ENA,36,47,0.21139820425531916
1996,2020-05-01,GENE,ORF1ab,Romania,ENA,4,13,0.08492064615384616
1997,2020-05-01,GENE,ORF1ab,Spain,ENA,315,469,0.18536782835820897
1998,2020-05-01,GENE,ORF1ab,United Kingdom,ENA,118,224,0.1453886955357143
1999,2020-05-01,GENE,ORF1ab,United States,ENA,454,935,0.1340111373262032
2000,2020-05-01,GENE,ORF3a,India,ENA,95,1,27.19375
2001,2020-05-01,GENE,ORF3a,Spain,ENA,54,15,1.0305
2002,2020-05-01,GENE,ORF3a,United States,ENA,204,12,4.86625
2003,2020-05-01,GENE,ORF6,Brazil,ENA,21,1,5.0925
2004,2020-05-01,GENE,ORF6,India,ENA,0,4,
2005,2020-05-01,GENE,ORF6,Spain,ENA,0,6,
2006,2020-05-01,GENE,ORF6,United Kingdom,ENA,0,2,
2007,2020-05-01,GENE,ORF6,United States,ENA,8,1,1.94
2008,2020-05-01,GENE,ORF7a,Romania,ENA,0,1,
2009,2020-05-01,GENE,ORF7a,Spain,ENA,2,1,0.588823529411764
2010,2020-05-01,GENE,ORF7a,United States,ENA,6,2,0.883235294117646
2011,2020-05-01,GENE,ORF7b,Spain,ENA,1,1,
2012,2020-05-01,GENE,ORF7b,United Kingdom,ENA,0,1,
2013,2020-05-01,GENE,ORF8,Poland,ENA,3,1,0.805263157894737
2014,2020-05-01,GENE,ORF8,Qatar,ENA,2,1,0.536842105263158
2015,2020-05-01,GENE,ORF8,Spain,ENA,38,3,3.400000000000001
2016,2020-05-01,GENE,ORF8,United Kingdom,ENA,7,1,1.8789473684210531
2017,2020-05-01,GENE,ORF8,United States,ENA,44,2,5.905263157894738
2018,2020-05-01,GENE,S,Brazil,ENA,24,2,3.4046511627906964
2019,2020-05-01,GENE,S,Croatia,ENA,1,1,0.283720930232558
2020,2020-05-01,GENE,S,Germany,ENA,7,8,0.24825581395348828
2021,2020-05-01,GENE,S,India,ENA,88,56,0.445847176079734
2022,2020-05-01,GENE,S,Italy,ENA,8,2,1.134883720930232
2023,2020-05-01,GENE,S,Poland,ENA,194,24,2.293410852713177
2024,2020-05-01,GENE,S,Qatar,ENA,27,2,3.8302325581395333
2025,2020-05-01,GENE,S,Spain,ENA,220,24,2.6007751937984485
2026,2020-05-01,GENE,S,United Kingdom,ENA,126,16,2.2343023255813943
2027,2020-05-01,GENE,S,United States,ENA,416,77,1.5328299607369367
2028,2020-06-01,GENE,E,India,ENA,6,4,0.5062500000000001
2029,2020-06-01,GENE,E,"Palestine, State of",ENA,3,1,1.0125000000000002
2030,2020-06-01,GENE,E,Spain,ENA,1,1,0.3375
2031,2020-06-01,GENE,E,United States,ENA,0,1,
2032,2020-06-01,GENE,M,Brazil,ENA,0,2,
2033,2020-06-01,GENE,M,India,ENA,19,701,0.008293865905848788
2034,2020-06-01,GENE,M,Malaysia,ENA,2,1,0.612
2035,2020-06-01,GENE,M,Peru,ENA,2,3,0.204
2036,2020-06-01,GENE,M,Spain,ENA,0,80,
2037,2020-06-01,GENE,M,United Kingdom,ENA,0,5,
2038,2020-06-01,GENE,M,United States,ENA,3,4,0.2295
2039,2020-06-01,GENE,N,Brazil,ENA,73,31,0.7017863664029208
2040,2020-06-01,GENE,N,India,ENA,784,112,2.086132075471696
2041,2020-06-01,GENE,N,"Iran, Islamic Republic of",ENA,2,4,0.149009433962264
2042,2020-06-01,GENE,N,Malaysia,ENA,4,5,0.23841509433962238
2043,2020-06-01,GENE,N,Not available,ENA,0,2,
2044,2020-06-01,GENE,N,"Palestine, State of",ENA,10,7,0.4257412398921828
2045,2020-06-01,GENE,N,Peru,ENA,162,97,0.49772223302859314
2046,2020-06-01,GENE,N,Philippines,ENA,13,10,0.38742452830188634
2047,2020-06-01,GENE,N,Qatar,ENA,21,5,1.2516792452830177
2048,2020-06-01,GENE,N,Spain,ENA,157,42,1.1140229110512117
2049,2020-06-01,GENE,N,United Kingdom,ENA,19,10,0.5662358490566032
2050,2020-06-01,GENE,N,United States,ENA,95,12,2.359316037735846
2051,2020-06-01,GENE,ORF10,Spain,ENA,74,1,19.733333333333356
2052,2020-06-01,GENE,ORF10,United States,ENA,1,2,0.1333333333333335
2053,2020-06-01,GENE,ORF1ab,Brazil,ENA,34,68,0.13799605
2054,2020-06-01,GENE,ORF1ab,Greece,ENA,9,6,0.41398815000000005
2055,2020-06-01,GENE,ORF1ab,India,ENA,1270,3214,0.10905723926571251
2056,2020-06-01,GENE,ORF1ab,"Iran, Islamic Republic of",ENA,13,2,1.79394865
2057,2020-06-01,GENE,ORF1ab,Israel,ENA,1,4,0.068998025
2058,2020-06-01,GENE,ORF1ab,Malaysia,ENA,8,6,0.3679894666666667
2059,2020-06-01,GENE,ORF1ab,Not available,ENA,8,2,1.1039684
2060,2020-06-01,GENE,ORF1ab,"Palestine, State of",ENA,9,24,0.10349703750000001
2061,2020-06-01,GENE,ORF1ab,Peru,ENA,331,253,0.3610805735177866
2062,2020-06-01,GENE,ORF1ab,Philippines,ENA,5,20,0.068998025
2063,2020-06-01,GENE,ORF1ab,Qatar,ENA,48,57,0.23241440000000002
2064,2020-06-01,GENE,ORF1ab,Spain,ENA,317,606,0.14437210511551155
2065,2020-06-01,GENE,ORF1ab,Turkey,ENA,0,1,
2066,2020-06-01,GENE,ORF1ab,United Kingdom,ENA,14,29,0.13323756551724136
2067,2020-06-01,GENE,ORF1ab,United States,ENA,219,382,0.15822583743455498
2068,2020-06-01,GENE,ORF3a,Brazil,ENA,2,4,0.143125
2069,2020-06-01,GENE,ORF3a,India,ENA,844,38,6.357763157894737
2070,2020-06-01,GENE,ORF3a,Peru,ENA,17,7,0.6951785714285714
2071,2020-06-01,GENE,ORF3a,Qatar,ENA,27,1,7.728750000000001
2072,2020-06-01,GENE,ORF3a,Spain,ENA,45,9,1.43125
2073,2020-06-01,GENE,ORF3a,United Kingdom,ENA,1,1,0.28625
2074,2020-06-01,GENE,ORF3a,United States,ENA,37,6,1.7652083333333333
2075,2020-06-01,GENE,ORF6,India,ENA,7,21,0.08083333333333333
2076,2020-06-01,GENE,ORF6,Peru,ENA,0,2,
2077,2020-06-01,GENE,ORF6,Qatar,ENA,0,2,
2078,2020-06-01,GENE,ORF7a,India,ENA,9,12,0.2208088235294115
2079,2020-06-01,GENE,ORF7a,Peru,ENA,18,7,0.7570588235294108
2080,2020-06-01,GENE,ORF7a,United States,ENA,1,3,0.09813725490196067
2081,2020-06-01,GENE,ORF7b,India,ENA,6,1,
2082,2020-06-01,GENE,ORF7b,Peru,ENA,2,1,
2083,2020-06-01,GENE,ORF7b,United States,ENA,0,1,
2084,2020-06-01,GENE,ORF8,Brazil,ENA,2,1,0.536842105263158
2085,2020-06-01,GENE,ORF8,India,ENA,47,40,0.31539473684210534
2086,2020-06-01,GENE,ORF8,Peru,ENA,6,1,1.610526315789474
2087,2020-06-01,GENE,ORF8,Spain,ENA,44,7,1.6872180451127823
2088,2020-06-01,GENE,ORF8,United States,ENA,11,3,0.9842105263157898
2089,2020-06-01,GENE,S,Brazil,ENA,32,3,3.0263565891472854
2090,2020-06-01,GENE,S,India,ENA,1016,510,0.5652165982672136
2091,2020-06-01,GENE,S,"Iran, Islamic Republic of",ENA,2,3,0.18914728682170534
2092,2020-06-01,GENE,S,Israel,ENA,0,1,
2093,2020-06-01,GENE,S,Malaysia,ENA,2,4,0.141860465116279
2095,2020-06-01,GENE,S,Qatar,ENA,35,3,3.3100775193798433
2096,2020-06-01,GENE,S,Spain,ENA,285,70,1.155149501661129
2097,2020-06-01,GENE,S,United Kingdom,ENA,12,3,1.134883720930232
2098,2020-06-01,GENE,S,United States,ENA,116,22,1.4959830866807604
