id,month,gene_name,country,source,dn,ds
158,2021-05-01,ORF6,United Kingdom,ENA,4,6
159,2021-04-01,ORF1ab,United Kingdom,ENA,4915,3251
160,2021-03-01,ORF8,Brazil,ENA,7,2
161,2021-04-01,ORF7a,Poland,ENA,6,1
162,2021-04-01,ORF8,United Kingdom,ENA,1266,43
163,2020-04-01,ORF1ab,United States,ENA,229,300
164,2020-05-01,ORF3a,United States,ENA,171,2
165,2020-10-01,M,"Palestine, State of",ENA,0,1
166,2021-03-01,N,Poland,ENA,54,25
167,2020-12-01,ORF3a,United States,ENA,427,13
168,2020-06-01,ORF1ab,United Kingdom,ENA,489,642
169,2021-05-01,E,Poland,ENA,1,10
170,2021-05-01,N,United Kingdom,ENA,2156,385
171,2021-03-01,ORF8,Spain,ENA,541,185
172,2020-10-01,ORF6,United Kingdom,ENA,3,2
173,2020-05-01,N,Turkey,ENA,0,1
174,2021-04-01,M,Greece,ENA,1,7
175,2021-06-01,E,United Kingdom,ENA,3,5
176,2021-04-01,ORF3a,United States,ENA,86,61
177,2021-06-01,ORF7a,Greece,ENA,7,11
178,2020-04-01,ORF7a,United States,ENA,3,4
179,2020-05-01,N,United States,ENA,32,12
180,2021-05-01,S,India,ENA,0,33
181,2021-02-01,S,Spain,ENA,23,4
182,2021-02-01,N,United States,ENA,1446,334
183,2021-03-01,N,Italy,ENA,15,6
184,2020-11-01,ORF8,Brazil,ENA,0,1
185,2021-01-01,ORF7b,United States,ENA,36,4
186,2021-01-01,ORF7a,United States,ENA,65,49
187,2021-05-01,M,India,ENA,0,3
188,2021-06-01,ORF8,Mozambique,ENA,30,110
189,2020-07-01,ORF7b,Spain,ENA,0,3
190,2021-05-01,ORF8,Spain,ENA,5219,883
191,2020-11-01,M,United Kingdom,ENA,12,165
192,2021-04-01,ORF7a,Greece,ENA,0,1
193,2020-05-01,ORF1ab,United States,ENA,506,623
194,2021-03-01,N,United Kingdom,ENA,14674,2820
195,2021-05-01,N,India,ENA,44,3
196,2020-06-01,M,United States,ENA,8,19
197,2021-05-01,ORF10,Japan,ENA,0,2
198,2020-06-01,N,Morocco,ENA,0,1
199,2020-08-01,N,United Kingdom,ENA,56,25
200,2020-11-01,N,Peru,ENA,10,10
201,2021-06-01,ORF8,United Kingdom,ENA,91,3
202,2021-01-01,N,United States,ENA,1560,381
203,2021-04-01,ORF3a,Romania,ENA,1,1
204,2021-06-01,ORF7b,Greece,ENA,2,2
205,2020-09-01,ORF8,Brazil,ENA,0,1
206,2021-03-01,S,Brazil,ENA,36,4
207,2021-06-01,ORF3a,Mozambique,ENA,261,21
208,2020-12-01,ORF1ab,Poland,ENA,271,199
209,2020-08-01,E,Philippines,ENA,1,1
210,2021-01-01,S,United States,ENA,2242,509
211,2021-04-01,S,Greece,ENA,40,7
212,2021-01-01,ORF8,United States,ENA,599,63
213,2021-04-01,ORF1ab,Greece,ENA,51,147
214,2020-11-01,S,United Kingdom,ENA,588,101
215,2021-05-01,ORF8,Australia,ENA,2,1
216,2020-02-01,E,China,ENA,0,1
217,2021-01-01,ORF6,United Kingdom,ENA,88,96
218,2021-04-01,N,Poland,ENA,54,22
219,2021-03-01,ORF8,South Africa,ENA,1,1
220,2021-05-01,ORF7a,Poland,ENA,5,1
221,2020-06-01,ORF7b,United States,ENA,0,5
222,2020-09-01,ORF1ab,India,ENA,819,1509
223,2021-04-01,ORF10,United Kingdom,ENA,81,4
224,2020-12-01,ORF1ab,Not available,ENA,8,2
225,2021-02-01,ORF1ab,United States,ENA,4194,4535
226,2021-06-01,ORF10,Greece,ENA,5,2
227,2021-03-01,M,United States,ENA,1,4
228,2021-03-01,ORF1ab,United Kingdom,ENA,16191,11169
229,2020-10-01,ORF1ab,China,ENA,4,5
230,2020-04-01,E,United States,ENA,0,1
231,2020-08-01,M,Bangladesh,ENA,0,1
232,2020-06-01,ORF6,United States,ENA,8,4
233,2020-11-01,ORF3a,United States,ENA,1089,11
234,2021-03-01,ORF7a,Brazil,ENA,0,1
235,2021-02-01,M,United States,ENA,22,359
236,2021-05-01,ORF7a,United Kingdom,ENA,36,8
237,2021-05-01,N,"Iran, Islamic Republic of",ENA,3,5
238,2021-01-01,ORF1ab,Bangladesh,ENA,48,33
239,2020-07-01,ORF1ab,Spain,ENA,328,366
240,2020-12-01,ORF1ab,United States,ENA,880,1349
241,2020-12-01,M,United States,ENA,5,55
242,2021-04-01,ORF1ab,Australia,ENA,130,133
243,2020-10-01,ORF1ab,"Palestine, State of",ENA,63,137
244,2020-05-01,N,Israel,ENA,2,1
245,2021-02-01,ORF8,United Kingdom,ENA,4827,508
246,2020-08-01,N,United States,ENA,455,92
247,2021-02-01,E,United Kingdom,ENA,40,67
248,2020-07-01,M,China,ENA,0,1
249,2021-01-01,S,United Kingdom,ENA,15364,2650
250,2020-12-01,ORF8,Poland,ENA,0,1
251,2020-10-01,ORF1ab,Italy,ENA,0,4
252,2021-06-01,M,Switzerland,ENA,15,79
253,2021-04-01,ORF6,United Kingdom,ENA,8,7
254,2020-07-01,S,United States,ENA,956,182
255,2020-04-01,ORF6,United States,ENA,0,1
256,2021-04-01,ORF7b,Greece,ENA,0,1
257,2020-12-01,S,United Kingdom,ENA,30,18
258,2021-05-01,ORF10,Spain,ENA,2044,85
259,2021-03-01,S,United States,ENA,100,5
260,2021-03-01,ORF3a,Denmark,ENA,1,1
261,2020-08-01,M,United States,ENA,19,33
262,2021-04-01,N,Spain,ENA,9156,1756
263,2020-08-01,ORF1ab,Not available,ENA,8,5
264,2021-02-01,S,Bangladesh,ENA,4,2
265,2020-11-01,E,United Kingdom,ENA,3,5
266,2020-07-01,ORF7a,Sweden,ENA,0,1
267,2020-08-01,S,Mexico,ENA,13,2
268,2021-02-01,ORF8,Brazil,ENA,19,89
269,2020-12-01,N,United Kingdom,ENA,43,20
270,2021-02-01,ORF6,United Kingdom,ENA,46,41
271,2020-07-01,ORF1ab,United States,ENA,1713,2505
272,2020-06-01,N,Canada,ENA,0,2
273,2021-03-01,M,Hong Kong,ENA,0,1
274,2021-04-01,S,United States,ENA,188,38
275,2021-02-01,ORF10,United Kingdom,ENA,653,11
276,2020-08-01,ORF1ab,Philippines,ENA,44,74
277,2021-03-01,ORF7a,Poland,ENA,1,1
278,2021-02-01,N,Brazil,ENA,865,326
279,2020-08-01,ORF1ab,United States,ENA,2088,3257
280,2020-11-01,ORF3a,United Kingdom,ENA,158,53
281,2020-11-01,S,Ecuador,ENA,0,1
282,2020-04-01,S,United States,ENA,106,10
283,2020-07-01,N,United States,ENA,351,98
284,2021-05-01,ORF3a,Spain,ENA,1679,523
285,2021-06-01,E,Spain,ENA,66,38
286,2021-06-01,ORF7a,Mozambique,ENA,5,3
287,2020-05-01,ORF1ab,Italy,ENA,0,2
288,2021-06-01,M,Spain,ENA,166,636
289,2020-09-01,ORF7b,United States,ENA,1,2
290,2020-08-01,N,Spain,ENA,19,11
291,2020-05-01,M,Not available,ENA,0,1
292,2021-05-01,ORF6,Spain,ENA,93,104
293,2020-10-01,ORF3a,United States,ENA,47,1
294,2021-03-01,ORF3a,United Kingdom,ENA,494,162
295,2021-01-01,M,India,ENA,7,22
296,2021-06-01,ORF3a,Switzerland,ENA,81,12
297,2021-03-01,ORF6,Spain,ENA,3,4
298,2020-08-01,E,India,ENA,12,4
299,2021-04-01,ORF7b,Poland,ENA,0,3
300,2020-06-01,ORF7a,United Kingdom,ENA,6,6
301,2021-04-01,E,Poland,ENA,0,5
302,2021-06-01,ORF1ab,Spain,ENA,12499,13203
303,2021-02-01,E,United States,ENA,20,9
304,2021-02-01,ORF8,United States,ENA,440,67
305,2021-05-01,S,Poland,ENA,376,33
306,2020-06-01,S,Italy,ENA,1,1
307,2020-08-01,ORF6,United States,ENA,8,7
308,2020-11-01,ORF1ab,Brazil,ENA,37,132
309,2020-08-01,ORF6,India,ENA,8,32
310,2020-05-01,ORF7b,United States,ENA,0,3
311,2020-09-01,N,India,ENA,91,18
312,2021-02-01,ORF7a,United Kingdom,ENA,171,62
313,2021-01-01,M,Turkey,ENA,0,3
314,2020-10-01,ORF1ab,United Kingdom,ENA,144,195
315,2021-06-01,S,Mozambique,ENA,882,69
316,2021-01-01,ORF3a,United States,ENA,1323,64
317,2020-05-01,ORF6,United States,ENA,5,9
318,2020-08-01,M,Mexico,ENA,0,1
319,2020-04-01,ORF8,United States,ENA,42,1
320,2021-06-01,ORF6,Greece,ENA,15,3
321,2021-03-01,ORF1ab,Brazil,ENA,38,60
322,2021-02-01,N,Spain,ENA,11,7
323,2021-05-01,ORF7b,Poland,ENA,1,9
324,2021-06-01,ORF3a,Greece,ENA,68,28
325,2020-08-01,ORF1ab,Spain,ENA,63,175
326,2021-02-01,M,Poland,ENA,0,2
327,2021-03-01,M,Poland,ENA,0,14
328,2020-08-01,S,India,ENA,1476,744
329,2020-04-01,ORF7b,United States,ENA,0,3
330,2021-04-01,ORF1ab,Germany,ENA,9,5
331,2021-06-01,ORF1ab,United Kingdom,ENA,1423,1047
332,2020-12-01,N,United States,ENA,131,59
333,2020-08-01,S,Germany,ENA,7,8
334,2021-02-01,ORF1ab,Mexico,ENA,4,6
335,2021-03-01,ORF1ab,Bangladesh,ENA,6,8
336,2020-10-01,ORF3a,United Kingdom,ENA,38,6
337,2021-02-01,ORF1ab,Poland,ENA,248,247
338,2021-03-01,ORF3a,Spain,ENA,243,47
339,2021-03-01,N,Bangladesh,ENA,6,2
340,2021-01-01,ORF3a,Bangladesh,ENA,4,5
341,2020-09-01,ORF6,United States,ENA,8,3
342,2020-06-01,ORF6,United Kingdom,ENA,4,9
343,2021-03-01,M,Qatar,ENA,3,4
344,2020-08-01,N,Philippines,ENA,50,34
345,2021-05-01,ORF1ab,"Iran, Islamic Republic of",ENA,19,4
346,2021-05-01,M,United Kingdom,ENA,29,56
347,2021-04-01,ORF3a,Poland,ENA,20,5
348,2020-07-01,N,Sweden,ENA,3,1
349,2020-11-01,S,United States,ENA,1237,135
350,2021-05-01,S,United Kingdom,ENA,2696,97
351,2020-08-01,N,Mexico,ENA,12,2
352,2020-09-01,ORF1ab,Brazil,ENA,18,78
353,2020-08-01,ORF7a,United Kingdom,ENA,3,1
354,2020-10-01,N,"Palestine, State of",ENA,51,41
355,2020-06-01,N,Qatar,ENA,15,7
356,2020-11-01,ORF3a,Brazil,ENA,5,2
357,2020-06-01,N,Italy,ENA,2,1
358,2020-06-01,ORF3a,United Kingdom,ENA,95,12
359,2021-01-01,M,United Kingdom,ENA,233,3519
360,2021-03-01,N,Denmark,ENA,3,1
361,2020-11-01,N,Brazil,ENA,142,43
362,2021-01-01,N,Russian Federation,ENA,9,3
363,2020-08-01,ORF1ab,Germany,ENA,8,12
364,2021-04-01,N,Uruguay,ENA,9,3
365,2021-04-01,ORF7b,United Kingdom,ENA,25,8
366,2021-03-01,ORF8,Qatar,ENA,9,1
367,2020-08-01,M,Spain,ENA,1,1
368,2021-05-01,S,Peru,ENA,179,25
369,2020-09-01,M,Brazil,ENA,0,1
370,2020-10-01,ORF1ab,United States,ENA,64,159
371,2021-03-01,ORF1ab,Japan,ENA,5,7
372,2020-08-01,N,Italy,ENA,10,5
373,2020-08-01,ORF1ab,United Kingdom,ENA,64,79
374,2021-03-01,ORF3a,Italy,ENA,4,3
375,2021-02-01,M,South Africa,ENA,4,4
376,2021-02-01,N,Mexico,ENA,2,1
377,2020-08-01,ORF1ab,Croatia,ENA,6,4
378,2021-04-01,ORF7a,Romania,ENA,3,1
379,2020-09-01,M,United States,ENA,6,10
380,2021-04-01,S,Spain,ENA,12880,856
381,2021-05-01,S,Not available,ENA,0,5
382,2020-10-01,N,Germany,ENA,20,10
383,2020-10-01,ORF1ab,Germany,ENA,11,15
384,2021-04-01,N,Greece,ENA,27,18
385,2020-10-01,N,Poland,ENA,47,21
386,2021-02-01,ORF8,South Africa,ENA,2,23
387,2020-06-01,ORF7b,United Kingdom,ENA,2,1
388,2020-08-01,ORF7b,India,ENA,9,1
389,2021-02-01,E,Brazil,ENA,0,2
390,2020-08-01,S,United States,ENA,1476,156
391,2020-07-01,E,United States,ENA,4,8
392,2021-06-01,ORF10,Spain,ENA,563,30
393,2020-04-01,E,China,ENA,0,1
394,2021-04-01,ORF8,United States,ENA,66,7
395,2021-03-01,ORF8,Poland,ENA,1,1
396,2021-02-01,ORF6,Brazil,ENA,112,1
397,2021-03-01,ORF10,Qatar,ENA,0,1
398,2021-01-01,S,Not available,ENA,1,9
399,2020-08-01,E,United States,ENA,8,8
400,2020-07-01,ORF1ab,China,ENA,3,2
401,2021-04-01,ORF8,Spain,ENA,2333,1145
402,2020-07-01,S,Spain,ENA,101,3
403,2021-03-01,ORF3a,Brazil,ENA,5,9
404,2021-03-01,ORF7a,Spain,ENA,57,16
405,2020-09-01,ORF3a,India,ENA,84,19
406,2020-11-01,ORF7a,United States,ENA,30,4
407,2021-04-01,ORF1ab,Spain,ENA,16369,18622
408,2021-03-01,ORF6,United States,ENA,0,2
409,2021-01-01,M,Bangladesh,ENA,1,5
410,2021-02-01,N,Bangladesh,ENA,4,2
411,2021-02-01,M,Spain,ENA,4,7
412,2021-05-01,N,Spain,ENA,17681,3360
413,2020-08-01,S,Spain,ENA,74,7
414,2020-04-01,ORF3a,China,ENA,0,1
415,2020-11-01,ORF8,India,ENA,143,4
416,2021-02-01,S,United Kingdom,ENA,18791,850
417,2021-01-01,N,Bangladesh,ENA,24,12
418,2021-06-01,ORF8,Spain,ENA,2742,245
419,2021-01-01,N,United Kingdom,ENA,11832,3825
420,2020-09-01,ORF7a,India,ENA,6,42
421,2021-06-01,S,Switzerland,ENA,1284,73
422,2021-05-01,ORF8,Peru,ENA,4,31
423,2020-10-01,ORF1ab,Poland,ENA,119,91
424,2020-07-01,ORF7a,Spain,ENA,2,1
425,2021-03-01,S,Denmark,ENA,4,1
426,2020-10-01,N,United States,ENA,7,6
427,2020-10-01,ORF1ab,Israel,ENA,2,8
428,2020-09-01,ORF7a,United States,ENA,6,3
429,2020-11-01,S,India,ENA,237,189
430,2021-04-01,N,United Kingdom,ENA,3976,726
431,2021-02-01,ORF3a,Spain,ENA,8,1
432,2021-01-01,M,United States,ENA,50,261
433,2021-05-01,ORF1ab,United Kingdom,ENA,2732,1846
434,2020-09-01,E,Brazil,ENA,0,1
435,2020-12-01,M,United Kingdom,ENA,0,20
436,2021-06-01,N,Spain,ENA,7190,2215
437,2020-09-01,S,United States,ENA,506,24
438,2021-02-01,ORF1ab,Turkey,ENA,3,8
439,2021-06-01,ORF10,United Kingdom,ENA,1,1
440,2021-04-01,ORF3a,Spain,ENA,1493,526
441,2021-04-01,ORF7a,Spain,ENA,233,68
442,2021-05-01,ORF1ab,Not available,ENA,11,7
443,2021-05-01,N,Philippines,ENA,23,10
444,2021-05-01,ORF8,South Africa,ENA,0,1
445,2021-03-01,N,United States,ENA,23,7
446,2021-02-01,ORF7b,United Kingdom,ENA,75,30
447,2020-07-01,ORF1ab,France,ENA,49,94
448,2020-12-01,ORF10,United States,ENA,10,1
449,2021-02-01,ORF7b,United States,ENA,11,4
450,2020-08-01,N,India,ENA,952,100
451,2021-05-01,M,Poland,ENA,6,18
452,2021-05-01,ORF6,Poland,ENA,1,2
453,2021-06-01,ORF10,Switzerland,ENA,19,2
454,2021-06-01,ORF6,Mozambique,ENA,3,5
455,2020-11-01,ORF1ab,United Kingdom,ENA,893,1108
456,2021-01-01,E,United States,ENA,21,21
457,2020-08-01,ORF1ab,India,ENA,1888,4485
458,2020-09-01,ORF6,India,ENA,1,50
459,2021-04-01,ORF3a,United Kingdom,ENA,250,57
460,2021-06-01,S,Spain,ENA,10111,575
461,2021-03-01,ORF6,United Kingdom,ENA,73,51
462,2021-03-01,ORF10,Spain,ENA,269,1
463,2021-06-01,N,United Kingdom,ENA,794,59
464,2020-10-01,ORF8,United Kingdom,ENA,4,8
465,2021-06-01,ORF8,Greece,ENA,507,4
466,2020-08-01,S,Croatia,ENA,2,2
467,2021-03-01,ORF1ab,United States,ENA,73,124
468,2020-06-01,S,United Kingdom,ENA,322,42
469,2021-04-01,ORF1ab,Poland,ENA,117,157
470,2020-05-01,ORF1ab,Israel,ENA,0,3
471,2020-04-01,ORF1ab,Germany,ENA,2,3
472,2021-03-01,ORF1ab,Denmark,ENA,0,6
473,2021-05-01,ORF1ab,Poland,ENA,514,333
474,2020-11-01,N,India,ENA,299,16
475,2021-06-01,ORF3a,Uruguay,ENA,0,2
476,2020-06-01,ORF1ab,Morocco,ENA,1,3
477,2020-09-01,E,India,ENA,3,3
478,2020-08-01,M,United Kingdom,ENA,0,2
479,2020-10-01,ORF7b,United Kingdom,ENA,1,1
480,2020-09-01,ORF8,India,ENA,12,2
481,2021-01-01,ORF10,United Kingdom,ENA,2614,28
482,2020-08-01,ORF3a,India,ENA,1050,64
483,2020-08-01,ORF1ab,Italy,ENA,26,34
484,2020-08-01,N,Croatia,ENA,4,2
485,2021-05-01,N,Australia,ENA,6,1
486,2020-11-01,S,Brazil,ENA,47,6
487,2020-04-01,N,China,ENA,0,1
488,2020-03-01,ORF1ab,United States,ENA,17,15
489,2021-03-01,ORF8,United Kingdom,ENA,4361,334
490,2020-05-01,ORF1ab,Germany,ENA,0,2
491,2021-03-01,ORF1ab,Poland,ENA,128,239
492,2020-08-01,ORF1ab,Poland,ENA,153,130
493,2020-06-01,ORF1ab,Italy,ENA,2,2
494,2021-03-01,S,Poland,ENA,98,24
495,2021-02-01,S,Poland,ENA,91,18
496,2021-01-01,ORF1ab,Russian Federation,ENA,4,6
497,2021-04-01,S,United Kingdom,ENA,4483,181
498,2021-04-01,N,United States,ENA,115,20
499,2020-09-01,S,India,ENA,507,141
500,2021-04-01,M,Poland,ENA,0,4
501,2021-04-01,N,Germany,ENA,7,1
502,2020-11-01,S,Peru,ENA,4,5
503,2021-02-01,S,Mexico,ENA,1,1
504,2020-11-01,ORF7a,India,ENA,6,2
505,2021-06-01,ORF7b,Switzerland,ENA,2,31
506,2021-03-01,N,Chile,ENA,1,1
507,2021-03-01,ORF7a,Qatar,ENA,2,1
508,2021-01-01,ORF10,United States,ENA,25,13
509,2021-05-01,ORF3a,United Kingdom,ENA,119,27
510,2021-05-01,ORF1ab,Australia,ENA,8,7
511,2021-05-01,N,Peru,ENA,156,65
512,2020-09-01,S,Brazil,ENA,39,1
513,2021-02-01,N,Not available,ENA,1,1
514,2021-06-01,ORF8,Switzerland,ENA,271,12
515,2021-06-01,M,United Kingdom,ENA,138,14
516,2021-02-01,S,South Africa,ENA,166,3
517,2020-11-01,ORF6,United States,ENA,23,8
518,2020-07-01,S,France,ENA,45,2
519,2020-08-01,ORF7b,United States,ENA,2,3
520,2021-05-01,ORF1ab,Spain,ENA,28239,24857
521,2021-03-01,ORF7a,United Kingdom,ENA,148,102
522,2020-07-01,ORF8,United States,ENA,336,6
523,2020-05-01,M,United States,ENA,2,6
524,2021-02-01,ORF1ab,United Kingdom,ENA,20213,14744
525,2021-03-01,S,Hong Kong,ENA,1,1
526,2021-01-01,ORF8,Russian Federation,ENA,0,3
527,2021-03-01,N,Japan,ENA,5,1
528,2021-04-01,S,Poland,ENA,89,12
529,2020-11-01,ORF8,United States,ENA,452,2
530,2021-05-01,ORF7b,United Kingdom,ENA,10,2
531,2021-01-01,ORF1ab,Turkey,ENA,21,26
532,2021-04-01,ORF6,Spain,ENA,63,81
533,2020-06-01,N,United Kingdom,ENA,461,211
534,2021-02-01,S,Not available,ENA,3,2
535,2020-05-01,ORF1ab,Not available,ENA,1,3
536,2021-05-01,ORF3a,Poland,ENA,40,7
537,2021-01-01,ORF6,United States,ENA,19,20
